word,color,condition,correct_key,condition_tag,thisN,thisTrialN,thisRepN,key_resp_stroop.keys,key_resp_stroop.corr,key_resp_stroop.rt,key_resp_stroop.duration,type,key_resp_oddball.keys,key_resp_oddball.corr,key_resp_oddball.rt,key_resp_oddball.duration,stroop_loop.thisRepN,stroop_loop.thisTrialN,stroop_loop.thisN,stroop_loop.thisIndex,oddball_loop.thisRepN,oddball_loop.thisTrialN,oddball_loop.thisN,oddball_loop.thisIndex,thisRow.t,notes,piloting,Baseline_routine.started,baseline_screen.started,Baseline_routine.stopped,stroop_Instruction.started,instructionStroop.started,stroop_Instruction.stopped,stroop_trial.started,stroop_stim.started,key_resp_stroop.started,stroop_stim.stopped,stroop_trial.stopped,stroop_loop.key_resp_stroop.keys,stroop_loop.key_resp_stroop.corr,ITI.started,text.started,ITI.stopped,stroop_loop.key_resp_stroop.rt,stroop_loop.key_resp_stroop.duration,text.stopped,oddball_instruction.started,instructionOddball.started,oddball_instruction.stopped,oddball_trial.started,circle_stim.started,key_resp_oddball.started,circle_stim.stopped,oddball_trial.stopped,oddball_loop.key_resp_oddball.keys,oddball_loop.key_resp_oddball.corr,oddball_loop.key_resp_oddball.rt,oddball_loop.key_resp_oddball.duration,participant,Age,Sex,Vision,Handedness,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.023311900004046038,0.034589800001413096,60.00600590000249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.006089800001064,60.031347399999504,70.00564989999839,,,,,,,,,,,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
yellow,green,incongruent,g,STROOP_INCONG,0,0,0,None,0,,,,,,,,0,0,0,40,,,,,70.24706899999728,,,,,,,,,70.23662889999832,70.24706899999728,70.24706899999728,71.24951660000079,71.5053207000019,None,0,71.50543199999811,71.51629430000321,72.50526949999767,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
blue,blue,congruent,b,STROOP_CONG,1,1,0,None,0,,,,,,,,0,1,1,95,,,,,72.53115010000329,,,,,,,,,72.50965859999997,72.53115010000329,72.53115010000329,73.53286920000392,74.0051300999985,None,0,74.00524250000308,74.01617100000294,75.00530550000258,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
green,yellow,incongruent,y,STROOP_INCONG,2,2,0,None,0,,,,,,,,0,2,2,87,,,,,75.03119529999822,,,,,,,,,75.01086349999969,75.03119529999822,75.03119529999822,76.03257409999787,76.50501570000051,None,0,76.5051323000007,76.51605399999971,77.50402480000048,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
green,green,congruent,g,STROOP_CONG,3,3,0,None,0,,,,,,,,0,3,3,20,,,,,77.51518770000257,,,,,,,,,77.50478970000404,77.51518770000257,77.51518770000257,78.51610410000285,79.00494020000042,None,0,79.00505290000001,79.015550600001,80.00485520000075,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
yellow,yellow,congruent,y,STROOP_CONG,4,4,0,None,0,,,,,,,,0,4,4,86,,,,,80.03005619999749,,,,,,,,,80.01025269999809,80.03005619999749,80.03005619999749,81.03265529999771,81.50474899999972,None,0,81.50486369999999,81.51531980000436,82.5047926000043,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
red,red,congruent,r,STROOP_CONG,5,5,0,None,0,,,,,,,,0,5,5,11,,,,,82.53069369999866,,,,,,,,,82.50933790000272,82.53069369999866,82.53069369999866,83.53244450000057,84.00478250000015,None,0,84.0048988999988,84.01577779999934,85.00464140000258,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
red,green,incongruent,g,STROOP_INCONG,6,6,0,b,0,0.32842779999919003,0.1684127999978955,,,,,,0,6,6,36,,,,,85.01521800000046,,,,,,,,,85.0054014999987,85.01521800000046,85.01521800000046,86.01543030000175,86.50451269999758,b,0,86.50464430000284,86.51572090000263,87.50486960000126,0.32842779999919003,0.1684127999978955,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
blue,blue,congruent,b,STROOP_CONG,7,7,0,b,0,1.1886959999974351,0.05480379999789875,,,,,,0,7,7,70,,,,,87.53068489999714,,,,,,,,,87.50931449999916,87.53068489999714,87.53068489999714,88.53199419999873,89.00459489999776,b,0,89.00473020000209,89.01549089999753,90.00451700000121,1.1886959999974351,0.05480379999789875,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
yellow,yellow,congruent,y,STROOP_CONG,8,8,0,y,0,1.193535600003088,0.08255739999731304,,,,,,0,8,8,101,,,,,90.02945180000097,,,,,,,,,90.00993659999949,90.02945180000097,90.02945180000097,91.03202920000331,91.50435730000027,y,0,91.50448860000324,91.51537900000403,92.50426069999958,1.193535600003088,0.08255739999731304,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
red,blue,incongruent,b,STROOP_INCONG,9,9,0,None,0,,,,,,,,0,9,9,24,,,,,92.5304746000038,,,,,,,,,92.50890810000419,92.5304746000038,92.5304746000038,93.53197730000102,94.00435799999832,None,0,94.0044732000024,94.01528720000351,95.00412330000108,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
blue,blue,congruent,b,STROOP_CONG,10,10,0,b,0,0.8213790000008885,0.11034520000248449,,,,,,0,10,10,115,,,,,95.03020300000207,,,,,,,,,95.00861720000103,95.03020300000207,95.03020300000207,96.03160970000317,96.50402290000056,b,0,96.50415390000126,96.51519189999817,97.503973400002,0.8213790000008885,0.11034520000248449,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
red,blue,incongruent,b,STROOP_INCONG,11,11,0,None,0,,,,,,,,0,11,11,68,,,,,97.53007629999775,,,,,,,,,97.50838310000108,97.53007629999775,97.53007629999775,98.53170680000039,99.00397270000394,None,0,99.00408569999854,99.01501460000145,100.00430880000204,,,,,,,,,,,,,,,,ANR_FS002,23,Prefer not to say,Corrected,Ambidexterous,2026-06-19_11h58.29.334,stroop_oddball,,2026.1.3,59.96501640918934,2026-06-19 11h58.29.872655 +0100,
