word,color,condition,correct_key,condition_tag,thisN,thisTrialN,thisRepN,key_resp_stroop.keys,key_resp_stroop.corr,stroop_loop.thisRepN,stroop_loop.thisTrialN,stroop_loop.thisN,stroop_loop.thisIndex,thisRow.t,notes,piloting,Baseline_routine.started,baseline_screen.started,Baseline_routine.stopped,stroop_Instruction.started,instructionStroop.started,stroop_Instruction.stopped,stroop_trial.started,stroop_stim.started,key_resp_stroop.started,stroop_stim.stopped,key_resp_stroop.stopped,stroop_trial.stopped,stroop_loop.key_resp_stroop.keys,stroop_loop.key_resp_stroop.corr,ITI.started,text.started,text.stopped,ITI.stopped,oddball_instruction.started,instructionOddball.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,True,0.020581999997375533,0.03126999999949476,180.01379050000105,,,,,,,,,,,,,,,,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
,,,,,,,,,,,,,,,,,,,,180.01387509999768,180.03937600000063,190.01364929999545,,,,,,,,,,,,,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
yellow,yellow,congruent,y,STROOP_CONG,0,0,0,None,0,0,0,0,15,190.13856629999646,,,,,,,,,190.1267635999975,190.5075291999965,190.5075291999965,191.50767439999618,192.00757009999506,191.99694919999456,None,0,191.9970495000016,192.00757009999506,193.00741849999758,192.99686039999506,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
yellow,yellow,congruent,y,STROOP_CONG,1,1,0,None,0,0,1,1,37,193.00741849999758,,,,,,,,,192.99760529999912,193.50736679999682,193.50736679999682,194.5073448999974,195.00740129999758,194.996891099996,None,0,194.99699169999803,195.00740129999758,196.0226565999983,195.99693729999854,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
red,green,incongruent,g,STROOP_INCONG,2,2,0,None,0,0,2,2,36,196.0226565999983,,,,,,,,,196.0014347999968,196.50738779999665,196.50738779999665,197.5073248999979,198.00718359999883,197.9965424999973,None,0,197.99664679999842,198.00718359999883,199.00724429999536,198.9967067999969,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
red,red,congruent,r,STROOP_CONG,3,3,0,None,0,0,3,3,103,199.00724429999536,,,,,,,,,198.99745199999597,199.50658280000061,199.50658280000061,200.50714359999984,201.00712170000043,200.9964331999945,None,0,200.9965349999984,201.00712170000043,202.00698510000075,201.99631769999542,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
red,blue,incongruent,b,STROOP_INCONG,4,4,0,None,0,0,4,4,68,202.00698510000075,,,,,,,,,201.9970484000005,202.5069994000005,202.5069994000005,203.50709919999645,204.00710869999602,203.9962108999971,None,0,203.99631229999795,204.00710869999602,205.02202530000068,204.99651379999705,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
yellow,yellow,congruent,y,STROOP_CONG,5,5,0,None,0,0,5,5,82,205.02202530000068,,,,,,,,,205.00183729999844,205.5069239000004,205.5069239000004,206.50694329999533,207.00600589999522,206.99507009999797,None,0,206.99517249999917,207.00600589999522,208.02117590000125,207.99626770000032,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
green,green,congruent,g,STROOP_CONG,6,6,0,None,0,0,6,6,3,208.02117590000125,,,,,,,,,208.0037516999946,208.50598139999784,208.50598139999784,209.50585059999867,210.00614309999946,209.99786559999484,None,0,209.99797319999925,210.00614309999946,211.00603609999962,210.99568319999526,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
green,yellow,incongruent,y,STROOP_INCONG,7,7,0,None,0,0,7,7,42,211.00603609999962,,,,,,,,,210.99661449999985,211.5060095000008,211.5060095000008,212.50584739999613,213.00609819999954,212.99521449999884,None,0,212.99531719999504,213.00609819999954,214.0214374999996,213.99580920000153,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
yellow,yellow,congruent,y,STROOP_CONG,8,8,0,None,0,0,8,8,51,214.0214374999996,,,,,,,,,214.0008785999962,214.50587039999664,214.50587039999664,215.5061712999959,216.0056184999994,215.99496720000025,None,0,215.99507019999874,216.0056184999994,217.00548219999473,216.99459589999606,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
red,blue,incongruent,b,STROOP_INCONG,9,9,0,None,0,0,9,9,24,217.00548219999473,,,,,,,,,216.99884259999817,217.50624339999922,217.50624339999922,218.5064648999978,219.00634899999568,218.9954230000003,None,0,218.9955254000015,219.00634899999568,220.0061057999992,219.99543849999463,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
red,green,incongruent,g,STROOP_INCONG,10,10,0,None,0,0,10,10,33,220.0061057999992,,,,,,,,,219.9961914000014,220.5062958999988,220.5062958999988,221.5218462999983,222.00613650000014,221.99533719999454,None,0,221.99544179999793,222.00613650000014,223.00507919999654,222.99455959999614,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
red,red,congruent,r,STROOP_CONG,11,11,0,None,0,0,11,11,94,223.00507919999654,,,,,,,,,222.99530180000147,223.50621029999456,223.50621029999456,224.50589809999656,225.00587599999562,224.99462449999555,None,0,224.9947261999987,225.00587599999562,226.02107189999515,225.99517199999536,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
yellow,green,incongruent,g,STROOP_INCONG,12,12,0,None,0,0,12,12,5,226.02107189999515,,,,,,,,,226.00036009999894,226.50597849999758,226.50597849999758,227.5058293999973,228.00579479999578,227.99505109999882,None,0,227.99515450000035,228.00579479999578,229.00614649999625,228.99496830000135,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
yellow,yellow,congruent,y,STROOP_CONG,13,13,0,None,0,0,13,13,84,229.00614649999625,,,,,,,,,228.99568729999737,229.5050615,229.5050615,230.5047654999944,231.00600219999615,230.99482789999456,None,0,230.99492939999618,231.00600219999615,232.0055108000015,231.9948332999993,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
yellow,blue,incongruent,b,STROOP_INCONG,14,14,0,None,0,0,14,14,75,232.0055108000015,,,,,,,,,231.99557719999575,232.5047115999987,232.5047115999987,233.50572000000102,234.00568850000127,233.9948116000014,None,0,233.9949170999971,234.00568850000127,235.02061169999797,234.9947667000015,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
red,green,incongruent,g,STROOP_INCONG,15,15,0,None,0,0,15,15,113,235.02061169999797,,,,,,,,,234.99914400000125,235.5055471999949,235.5055471999949,236.50464929999725,,237.0105975999977,None,0,237.0107257999989,237.0213294999994,,238.01017319999664,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
yellow,red,incongruent,r,STROOP_INCONG,16,16,0,None,0,0,16,16,92,238.03596309999557,,,,,,,,,238.01534790000005,238.50546039999608,238.50546039999608,239.50519239999994,240.0052039000002,239.99444149999908,None,0,239.99454479999986,240.0052039000002,241.02019409999775,240.99452400000155,,,pilot001,001,2026-06-19_11h30.36.675,stroop_oddball,,2026.1.3,60.03420749156483,2026-06-19 11h30.37.801156 +0100,
